"","reference_period_qq","metcode","date_pbi","metro","inventory","num_structures","unitsperstructure","avgstorycount","ref_yy","ref_qq","population","inventory_per_10kpop"
"1","1988-2","0140","June 30, 1988","CALGARY",172,306,0.562091503267974,0.0849673202614379,1988,2,"714926.887",2.4058404170775
"2","1988-2","0610","June 30, 1988","HAMILTON",342,491,0.696537678207739,0,1988,2,"599723.112",5.70263165045405
"3","1988-2","1265","June 30, 1988",NA,332,547,0.606946983546618,0.0511882998171846,1988,2,"687116.1271702311",4.83178878899677
"4","1988-3","0140","September 30, 1988","CALGARY",137,550,0.249090909090909,0.0472727272727273,1988,3,"719616.5580000001",1.90379165789012
"5","1988-3","0610","September 30, 1988","HAMILTON",610,920,0.66304347826087,0.016304347826087,1988,3,"604688.9670000001",10.0878308236108
"6","1988-3","1265","September 30, 1988",NA,278,678,0.410029498525074,0.0353982300884956,1988,3,"690767.356122307",4.02450980834678
"7","1988-4","0140","December 31, 1988","CALGARY",118,400,0.295,0.07,1988,4,"724449.865",1.62882216839118
"8","1988-4","0610","December 31, 1988","HAMILTON",290,559,0.518783542039356,0.00536672629695885,1988,4,"607581.042",4.77302581801096
"9","1988-4","1265","December 31, 1988",NA,444,575,0.772173913043478,0.0869565217391304,1988,4,"694702.2267506439",6.3912275346624
"10","1989-1","0140","March 31, 1989","CALGARY",146,339,0.430678466076696,0.00589970501474926,1989,1,"729550.383",2.00123258656421
"11","1989-1","0610","March 31, 1989","HAMILTON",290,455,0.637362637362637,0,1989,1,"610112.429",4.75322229503376
"12","1989-1","1265","March 31, 1989",NA,381,493,0.772819472616633,0.101419878296146,1989,1,"699010.174594525",5.45056443879385
"13","1989-2","0140","June 30, 1989","CALGARY",233,618,0.377022653721683,0.00323624595469256,1989,2,"734918.114",3.17042124233177
"14","1989-2","0610","June 30, 1989","HAMILTON",286,406,0.704433497536946,0,1989,2,"612283.13",4.67104164702366
"15","1989-2","1265","June 30, 1989",NA,445,536,0.830223880597015,0.0895522388059701,1989,2,"703566.8941991241",6.32491385920805
"16","1989-3","0140","September 30, 1989","CALGARY",290,742,0.390835579514825,0,1989,3,"742152.045",3.90755508866111
"17","1989-3","0610","September 30, 1989",NA,277,461,0.600867678958785,0,1989,3,"613678.6869999999",4.51376275350426
"18","1989-3","1265","September 30, 1989",NA,443,643,0.68895800933126,0.105754276827372,1989,3,"708194.6448610859",6.25534241489351
"19","1989-4","0140","December 31, 1989","CALGARY",363,640,0.5671875,0,1989,4,"747414.603",4.85674214208523
"20","1989-4","0610","December 31, 1989",NA,348,441,0.789115646258503,0,1989,4,"615293.795",5.65583470576036
"21","1989-4","1265","December 31, 1989",NA,589,616,0.956168831168831,0.0909090909090909,1989,4,"712715.6858770581",8.26416496327262
"22","1990-1","0140","March 31, 1990","CALGARY",426,893,0.477043673012318,0,1990,1,"752304.777",5.66259863055475
"23","1990-1","0610","March 31, 1990",NA,260,387,0.671834625322997,0,1990,1,"616713.997",4.2158926384802
"24","1990-1","1265","March 31, 1990",NA,583,449,1.29844097995546,0.120267260579065,1990,1,"716991.718432139",8.13119573089154
"25","1990-2","0140","June 30, 1990","CALGARY",585,1150,0.508695652173913,0,1990,2,"756822.5660000001",7.72968495233796
"26","1990-2","0610","June 30, 1990","HAMILTON",299,379,0.788918205804749,0,1990,2,"617939.295",4.8386629952057
"27","1990-2","1265","June 30, 1990",NA,530,576,0.920138888888889,0.078125,1990,2,"721042.211265245",7.3504711890582
"28","1990-3","0140","September 30, 1990","CALGARY",634,1255,0.505179282868526,0,1990,3,"760406.6460000001",8.3376441189074
"29","1990-3","0610","September 30, 1990","HAMILTON",346,416,0.831730769230769,0,1990,3,"618601.108",5.59326511907897
"30","1990-3","1265","September 30, 1990",NA,553,608,0.909539473684211,0.0740131578947368,1990,3,"724926.075003741",7.62836403694192
"31","1990-4","0140","December 31, 1990","CALGARY",575,946,0.607822410147992,0,1990,4,"764404.198",7.52219835401794
"32","1990-4","0610","December 31, 1990","HAMILTON",459,360,1.275,0,1990,4,"619584.027",7.40819614447549
"33","1990-4","1265","December 31, 1990",NA,674,566,1.19081272084806,0.0812720848056537,1990,4,"728702.2202749951",9.2493199725074
"34","1991-1","0140","March 31, 1991","CALGARY",519,700,0.741428571428571,0.0128571428571429,1991,1,"768253.8960000001",6.75557914775612
"35","1991-1","0610","March 31, 1991","HAMILTON",363,277,1.31046931407942,0,1991,1,"620519.4709999999",5.84993730196744
"36","1991-1","1265","March 31, 1991",NA,714,452,1.57964601769911,0.0530973451327434,1991,1,"732414.1119574379",9.74858332660706
"37","1991-2","0140","June 30, 1991","CALGARY",663,803,0.825653798256538,0.0112079701120797,1991,2,"771955.74",8.58857529837138
"38","1991-2","0610","June 30, 1991","HAMILTON",310,220,1.40909090909091,0,1991,2,"621407.4419999999",4.98867536896991
"39","1991-2","1265","June 30, 1991",NA,674,303,2.22442244224422,0.0792079207920792,1991,2,"736043.431933762",9.15706832991147
"40","1991-3","0140","September 30, 1991","CALGARY",689,1013,0.680157946692991,0.0118460019743337,1991,3,"775716.732",8.88210826938821
"41","1991-3","0610","September 30, 1991","HAMILTON",331,279,1.18637992831541,0.021505376344086,1991,3,"622314.3280000001",5.31885552215664
"42","1991-3","1265","September 30, 1991",NA,587,371,1.5822102425876,0.0646900269541779,1991,3,"739556.4163377191",7.93719028099062
"43","1991-4","0140","December 31, 1991","CALGARY",645,900,0.716666666666667,0.0133333333333333,1991,4,"779040.068",8.27942010294649
"44","1991-4","0610","December 31, 1991","HAMILTON",478,353,1.35410764872521,0.0169971671388102,1991,4,"623080.796",7.67155725338709
"45","1991-4","1265","December 31, 1991",NA,659,397,1.65994962216625,0.0604534005037783,1991,4,"742919.301303064",8.87041161596056
"46","1992-1","0140","March 31, 1992","CALGARY",614,925,0.663783783783784,0.00324324324324324,1992,1,"782132.749",7.85032976543986
"47","1992-1","0610","March 31, 1992","HAMILTON",433,288,1.50347222222222,0.0208333333333333,1992,1,"623773.236",6.94162517739059
"48","1992-1","1265","March 31, 1992",NA,509,406,1.25369458128079,0.0640394088669951,1992,1,"746121.7732902999",6.82194272062825
"49","1992-2","0140","June 30, 1992","CALGARY",614,1106,0.555153707052441,0,1992,2,"784994.777",7.82170809271512
"50","1992-2","0610","June 30, 1992","HAMILTON",455,342,1.33040935672515,0.0175438596491228,1992,2,"624391.6460000001",7.28709301149106
"51","1992-2","1265","June 30, 1992",NA,428,372,1.1505376344086,0.0645161290322581,1992,2,"749247.3200669179",5.71239947794239
"52","1992-3","0140","September 30, 1992","CALGARY",516,1087,0.474701011959522,0,1992,3,"786397.575",6.56156652059869
"53","1992-3","0610","September 30, 1992",NA,665,355,1.87323943661972,0.0169014084507042,1992,3,"624313.014",10.6517081189661
"54","1992-3","1265","September 30, 1992",NA,382,220,1.73636363636364,0.0181818181818182,1992,3,"752402.879727156",5.07706722412499
"55","1992-4","0140","December 31, 1992","CALGARY",554,916,0.604803493449782,0,1992,4,"789289.723",7.0189688761474
"56","1992-4","0610","December 31, 1992","HAMILTON",674,345,1.9536231884058,0.0173913043478261,1992,4,"625032.573",10.7834380017184
"57","1992-4","1265","December 31, 1992",NA,602,536,1.12313432835821,0.00746268656716418,1992,4,"755695.390365255",7.96617271555715
"58","1993-1","0140","March 31, 1993","CALGARY",581,815,0.712883435582822,0,1993,1,"792442.646",7.33176089061719
"59","1993-1","0610","March 31, 1993","HAMILTON",522,289,1.80622837370242,0.0207612456747405,1993,1,"625927.3080000001",8.33962655612399
"60","1993-1","1265","March 31, 1993",NA,625,449,1.39198218262806,0.0089086859688196,1993,1,"759175.950016865",8.23261063507235
"61","1993-2","0140","June 30, 1993","CALGARY",716,1088,0.658088235294118,0,1993,2,"795856.344",8.99659851175352
"62","1993-2","0610","June 30, 1993","HAMILTON",470,311,1.5112540192926,0.0192926045016077,1993,2,"626997.22",7.49604599522786
"63","1993-2","1265","June 30, 1993",NA,534,461,1.15835140997831,0.00867678958785249,1993,2,"762672.296483289",7.00169656695666
"64","1993-3","0140","September 30, 1993","CALGARY",683,1125,0.607111111111111,0,1993,3,"799783.125",8.53981509049719
"65","1993-3","0610","September 30, 1993","HAMILTON",440,349,1.26074498567335,0,1993,3,"628465.428",7.00118066001238
"66","1993-3","1265","September 30, 1993",NA,583,545,1.0697247706422,0.0036697247706422,1993,3,"765956.32750724",7.61140001150378
"67","1993-4","0140","December 31, 1993","CALGARY",641,1016,0.630905511811024,0,1993,4,"803617.45",7.97643206976155
"68","1993-4","0610","December 31, 1993","HAMILTON",428,340,1.25882352941176,0,1993,4,"629796.445",6.79584655324626
"69","1993-4","1265","December 31, 1993",NA,648,511,1.26810176125245,0.00391389432485323,1993,4,"768799.940831432",8.42872073193982
"70","1994-1","0140","March 31, 1994","CALGARY",739,965,0.76580310880829,0,1994,1,"807611.627",9.15043785024655
"71","1994-1","0610","March 31, 1994",NA,391,258,1.51550387596899,0,1994,1,"631213.391",6.19441864787688
"72","1994-1","1265","March 31, 1994",NA,511,414,1.23429951690821,0,1994,1,"771049.602307312",6.62732979137617
"73","1994-2","0140","June 30, 1994","CALGARY",669,1200,0.5575,0,1994,2,"811765.6560000001",8.24129470192811
"74","1994-2","0610","June 30, 1994","HAMILTON",431,392,1.09948979591837,0,1994,2,"632716.265",6.81190011766175
"75","1994-2","1265","June 30, 1994",NA,404,338,1.19526627218935,0,1994,2,"772850.0502212549",5.22740471950983
"76","1994-3","0140","September 30, 1994","CALGARY",727,1270,0.57244094488189,0,1994,3,"816043.918",8.9088342424237
"77","1994-3","0610","September 30, 1994",NA,274,401,0.683291770573566,0,1994,3,"634523.022",4.3182042337307
"78","1994-3","1265","September 30, 1994",NA,537,470,1.14255319148936,0.0170212765957447,1994,3,"774420.5909683689",6.93421644856462
"79","1994-4","0140","December 31, 1994","CALGARY",671,969,0.692466460268318,0,1994,4,"820531.899",8.17762235469166
"80","1994-4","0610","December 31, 1994","HAMILTON",307,302,1.01655629139073,0,1994,4,"636110.572",4.82620496362384
"81","1994-4","1265","December 31, 1994",NA,706,468,1.50854700854701,0.0170940170940171,1994,4,"775980.530943761",9.09816640813592
"82","1995-1","0140","March 31, 1995","CALGARY",938,1120,0.8375,0,1995,1,"825193.981",11.3670242585058
"83","1995-1","0610","March 31, 1995","HAMILTON",298,246,1.21138211382114,0,1995,1,"637696.87",4.67306668762542
"84","1995-1","1265","March 31, 1995",NA,729,427,1.70725995316159,0.0187353629976581,1995,1,"777685.0470553581",9.37397475700864
"85","1995-2","0140","June 30, 1995","CALGARY",906,1343,0.674609084139985,0,1995,2,"830030.162",10.9152659924664
"86","1995-2","0610","June 30, 1995","HAMILTON",318,307,1.03583061889251,0,1995,2,"639281.915",4.97433123851157
"87","1995-2","1265","June 30, 1995",NA,640,419,1.52744630071599,0.0190930787589499,1995,2,"779432.798262362",8.21109916630134
"88","1995-3","0140","September 30, 1995","CALGARY",758,1286,0.589424572317263,0,1995,3,"834192.731",9.08662916651572
"89","1995-3","0610","September 30, 1995","HAMILTON",292,317,0.921135646687697,0,1995,3,"640562.764",4.55849163283553
"90","1995-3","1265","September 30, 1995",NA,590,385,1.53246753246753,0.0207792207792208,1995,3,"781058.3140367931",7.55385339861073
"91","1995-4","0140","December 31, 1995","CALGARY",976,1132,0.862190812720848,0,1995,4,"839716.198",11.6229745516949
"92","1995-4","0610","December 31, 1995","HAMILTON",289,307,0.941368078175896,0,1995,4,"642266.482",4.49968989663079
"93","1995-4","1265","December 31, 1995",NA,599,380,1.57631578947368,0.0210526315789474,1995,4,"782396.123850674",7.65596839938235
"94","1996-1","0140","March 31, 1996","CALGARY",974,1137,0.856640281442392,0,1996,1,"845752.85",11.5163667494588
"95","1996-1","0610","March 31, 1996","HAMILTON",257,249,1.03212851405622,0,1996,1,"644090.124",3.99012483538717
"96","1996-1","1265","March 31, 1996",NA,521,290,1.79655172413793,0.0344827586206897,1996,1,"783343.424535385",6.65097814932211
"97","1996-2","0140","June 30, 1996","CALGARY",885,1252,0.706869009584665,0,1996,2,"852302.687",10.3836349867098
