"","reference_period_qq","metcode","gcd_ct_centroid_fsa","date_pbi","metro","total_starts","starts_no_accsuite","starts_accsuite","num_structures","unitsperstructure","avgstorycount","avgpermit_to_start_time"
"1","2006-1","1060","H1A","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0,0
"2","2006-1","1060","H1B","March 31, 2006","MONTRÉAL",6,NA,NA,1,6,0,0
"3","2006-1","1060","H1C","March 31, 2006","MONTRÉAL",9,NA,NA,5,1.8,0,0
"4","2006-1","1060","H1E","March 31, 2006","MONTRÉAL",13,NA,NA,4,3.25,0,0
"5","2006-1","1060","H1H","March 31, 2006","MONTRÉAL",12,NA,NA,2,6,0,0
"6","2006-1","1060","H1K","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0,0
"7","2006-1","1060","H1L","March 31, 2006","MONTRÉAL",11,NA,NA,2,5.5,0,0
"8","2006-1","1060","H1N","March 31, 2006","MONTRÉAL",8,NA,NA,2,4,0,0
"9","2006-1","1060","H1R","March 31, 2006","MONTRÉAL",30,NA,NA,10,3,0,0
"10","2006-1","1060","H1V","March 31, 2006","MONTRÉAL",47,NA,NA,6,7.83333333333333,0,0
"11","2006-1","1060","H1W","March 31, 2006","MONTRÉAL",36,NA,NA,4,9,0,0
"12","2006-1","1060","H1X","March 31, 2006","MONTRÉAL",3,NA,NA,1,3,0,0
"13","2006-1","1060","H2B","March 31, 2006","MONTRÉAL",4,NA,NA,1,4,0,0
"14","2006-1","1060","H2K","March 31, 2006","MONTRÉAL",16,NA,NA,2,8,0,0
"15","2006-1","1060","H2L","March 31, 2006","MONTRÉAL",84,NA,NA,1,84,8,22
"16","2006-1","1060","H2R","March 31, 2006","MONTRÉAL",53,NA,NA,1,53,0,0
"17","2006-1","1060","H2S","March 31, 2006","MONTRÉAL",18,NA,NA,3,6,0,0
"18","2006-1","1060","H2W","March 31, 2006","MONTRÉAL",18,NA,NA,3,6,0,0
"19","2006-1","1060","H2Y","March 31, 2006","MONTRÉAL",414,NA,NA,1,414,21,0
"20","2006-1","1060","H3C","March 31, 2006","MONTRÉAL",57,NA,NA,1,57,0,0
"21","2006-1","1060","H3K","March 31, 2006","MONTRÉAL",18,NA,NA,2,9,0,0
"22","2006-1","1060","H3P","March 31, 2006","MONTRÉAL",4,NA,NA,1,4,0,0
"23","2006-1","1060","H3X","March 31, 2006","MONTRÉAL",24,NA,NA,1,24,0,0
"24","2006-1","1060","H4A","March 31, 2006","MONTRÉAL",10,NA,NA,1,10,0,0
"25","2006-1","1060","H4B","March 31, 2006","MONTRÉAL",84,NA,NA,18,4.66666666666667,0,0
"26","2006-1","1060","H4C","March 31, 2006","MONTRÉAL",8,NA,NA,1,8,0,0
"27","2006-1","1060","H4E","March 31, 2006","MONTRÉAL",55,NA,NA,8,6.875,0,0
"28","2006-1","1060","H4G","March 31, 2006","MONTRÉAL",27,NA,NA,3,9,0,0
"29","2006-1","1060","H4K","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0,0
"30","2006-1","1060","H4M","March 31, 2006","MONTRÉAL",107,NA,NA,2,53.5,0,0
"31","2006-1","1060","H4N","March 31, 2006","MONTRÉAL",5,NA,NA,3,1.66666666666667,0,0
"32","2006-1","1060","H4V","March 31, 2006","MONTRÉAL",24,NA,NA,8,3,0,0
"33","2006-1","1060","H4W","March 31, 2006","MONTRÉAL",2,NA,NA,2,1,0,0
"34","2006-1","1060","H7A","March 31, 2006","MONTRÉAL",36,NA,NA,31,1.16129032258065,0,0
"35","2006-1","1060","H7B","March 31, 2006","MONTRÉAL",1,NA,NA,1,1,0,0
"36","2006-1","1060","H7C","March 31, 2006","MONTRÉAL",9,NA,NA,3,3,0,0
"37","2006-1","1060","H7E","March 31, 2006","MONTRÉAL",28,NA,NA,21,1.33333333333333,0.142857142857143,0
"38","2006-1","1060","H7G","March 31, 2006","MONTRÉAL",45,NA,NA,4,11.25,1.5,0
