"","reference_period_qq","metcode","date_pbi","metro","underconstr","num_structures","unitsperstructure","avgstorycount","ref_yy","ref_qq","population","underconstr_per_10kpop"
"1","1988-2","0140","June 30, 1988","CALGARY",1602,1486,1.07806191117093,0,1988,2,"714926.887",22.4078857451056
"2","1988-2","0610","June 30, 1988",NA,2883,1215,2.37283950617284,0,1988,2,"599723.112",48.0721843516346
"3","1988-2","1265","June 30, 1988",NA,4587,2062,2.22453928225024,0,1988,2,"687116.1271702311",66.75727462388
"4","1988-3","0140","September 30, 1988","CALGARY",1700,1544,1.10103626943005,0,1988,3,"719616.5580000001",23.6236921052058
"5","1988-3","0610","September 30, 1988",NA,2714,1474,1.84124830393487,0,1988,3,"604688.9670000001",44.8825784512784
"6","1988-3","1265","September 30, 1988",NA,4622,2048,2.2568359375,0.0166015625,1988,3,"690767.356122307",66.911094727262
"7","1988-4","0140","December 31, 1988","CALGARY",1681,1466,1.14665757162347,0,1988,4,"724449.865",23.2038141107252
"8","1988-4","0610","December 31, 1988",NA,2416,1120,2.15714285714286,0,1988,4,"607581.042",39.7642426769465
"9","1988-4","1265","December 31, 1988",NA,4317,1696,2.54540094339623,0.0288915094339623,1988,4,"694702.2267506439",62.1417325836432
"10","1989-1","0140","March 31, 1989","CALGARY",1992,1634,1.21909424724602,0,1989,1,"729550.383",27.3044884413418
"11","1989-1","0610","March 31, 1989",NA,2060,1037,1.98649951783992,0,1989,1,"610112.429",33.7642687164467
"12","1989-1","1265","March 31, 1989",NA,3540,1400,2.52857142857143,0.0521428571428571,1989,1,"699010.174594525",50.6430396675334
"13","1989-2","0140","June 30, 1989","CALGARY",2179,1840,1.18423913043478,0,1989,2,"734918.114",29.6495617469568
"14","1989-2","0610","June 30, 1989",NA,2223,1039,2.1395572666025,0,1989,2,"612283.13",36.3067328018657
"15","1989-2","1265","June 30, 1989",NA,3990,1877,2.12573255194459,0.0170484816196058,1989,2,"703566.8941991241",56.7110253893036
"16","1989-3","0140","September 30, 1989","CALGARY",2321,1944,1.19393004115226,0,1989,3,"742152.045",31.2739150371808
"17","1989-3","0610","September 30, 1989",NA,2112,923,2.28819068255688,0,1989,3,"613678.6869999999",34.4154040989206
"18","1989-3","1265","September 30, 1989",NA,3944,1774,2.22322435174746,0.0163472378804961,1989,3,"708194.6448610859",55.6909040278556
"19","1989-4","0140","December 31, 1989","CALGARY",2866,2250,1.27377777777778,0,1989,4,"747414.603",38.3455178490806
"20","1989-4","0610","December 31, 1989",NA,1706,952,1.79201680672269,0,1989,4,"615293.795",27.7265919770896
"21","1989-4","1265","December 31, 1989",NA,2910,1387,2.09805335255948,0.0100937274693583,1989,4,"712715.6858770581",40.8297454042841
