"ref_yy","metcode","metro","total_structures","share_three_to_five","share_six_to_twenty","share_twentyone_to_sixty","share_sixtyone_to_onehundred","share_greater_than_onehundred","avg_number_of_units"
"1994","1060","MONTRÉAL",156,20.512820512821,68.589743589744,10.25641025641,0.641025641026,0,10.8974358974359
"2014","2270","TORONTO",54,1.851851851852,18.518518518519,16.666666666667,16.666666666667,46.296296296296,163.277777777778
"2022","0140","CALGARY",66,10.606060606061,42.424242424242,13.636363636364,21.212121212121,12.121212121212,46.469696969697
"1988","1060",NA,58,27.586206896552,55.172413793103,15.51724137931,0,1.724137931034,15.1379310344828
"2010","0140","CALGARY",7,14.285714285714,28.571428571429,42.857142857143,0,14.285714285714,42
"2004","0340","EDMONTON",28,10.714285714286,17.857142857143,42.857142857143,21.428571428571,7.142857142857,47.3571428571429
"2014","1060","MONTRÉAL",302,27.814569536424,54.635761589404,11.58940397351,1.986754966887,3.973509933775,21.1258278145695
"2004","1060","MONTRÉAL",404,17.821782178218,66.831683168317,7.920792079208,4.207920792079,3.217821782178,18.6064356435644
"2017","1265","OTTAWA",35,5.714285714286,71.428571428571,8.571428571429,2.857142857143,11.428571428571,37.1142857142857
"2014","0140","CALGARY",75,17.333333333333,18.666666666667,29.333333333333,21.333333333333,13.333333333333,53.4666666666667
"2020","2410","VANCOUVER",80,5,20,27.5,21.25,26.25,74.3375
"1997","2410","VANCOUVER",78,0,19.230769230769,57.692307692308,14.102564102564,8.974358974359,49.025641025641
"2001","0140","CALGARY",18,5.555555555556,22.222222222222,38.888888888889,16.666666666667,16.666666666667,53.2222222222222
"2006","2270","TORONTO",99,1.010101010101,40.40404040404,30.30303030303,3.030303030303,25.252525252525,80.7272727272727
"2019","1265","OTTAWA",15,6.666666666667,46.666666666667,13.333333333333,13.333333333333,20,65.8
"2008","1265","OTTAWA",34,5.882352941176,79.411764705882,5.882352941176,2.941176470588,5.882352941176,25.9411764705882
"2018","1060","MONTRÉAL",354,22.316384180791,55.367231638418,10.45197740113,4.237288135593,7.627118644068,25.7796610169492
"1989","1060",NA,371,26.954177897574,63.881401617251,6.199460916442,1.88679245283,1.078167115903,11.5013477088949
"1997","0340","EDMONTON",7,0,42.857142857143,42.857142857143,0,14.285714285714,43.7142857142857
"2002","1060","MONTRÉAL",267,26.966292134831,63.670411985019,4.868913857678,2.996254681648,1.498127340824,12.2059925093633
"2013","2410","VANCOUVER",65,4.615384615385,13.846153846154,36.923076923077,20,24.615384615385,76.5384615384615
"2018","2410","VANCOUVER",102,4.901960784314,11.764705882353,37.254901960784,20.588235294118,25.490196078431,78.4901960784314
"1991","1265",NA,10,0,0,60,40,0,55
"2011","1060","MONTRÉAL",390,21.538461538462,64.102564102564,9.74358974359,2.051282051282,2.564102564103,15.6333333333333
"2014","1265","OTTAWA",22,0,68.181818181818,9.090909090909,0,22.727272727273,43.6818181818182
"1991","0140","CALGARY",5,20,20,60,0,0,21.8
"2016","1265","OTTAWA",14,7.142857142857,42.857142857143,35.714285714286,7.142857142857,7.142857142857,31.5714285714286
"2020","2270","TORONTO",68,0,11.764705882353,14.705882352941,10.294117647059,63.235294117647,196.955882352941
"2002","2410","VANCOUVER",37,10.810810810811,16.216216216216,35.135135135135,18.918918918919,18.918918918919,59.6216216216216
"2021","0140","CALGARY",48,12.5,41.666666666667,4.166666666667,16.666666666667,25,55.5833333333333
"2018","2270","TORONTO",87,0,18.390804597701,19.540229885057,6.896551724138,55.172413793103,174.402298850575
