REF_DATE,Total net migration
01/01/1994,1105
01/04/1994,607
01/07/1994,-275
01/10/1994,119
01/01/1995,2186
01/04/1995,1803
01/07/1995,1705
01/10/1995,1832
01/01/1996,2898
01/04/1996,4162
01/07/1996,6208
01/10/1996,4577
01/01/1997,8021
01/04/1997,9669
01/07/1997,9998
01/10/1997,6335
01/01/1998,12152
01/04/1998,14463
01/07/1998,8912
01/10/1998,4914
01/01/1999,5743
01/04/1999,7743
01/07/1999,6001
01/10/1999,2512
01/01/2000,8392
01/04/2000,8517
01/07/2000,5744
01/10/2000,6051
01/01/2001,7788
01/04/2001,8483
01/07/2001,9440
01/10/2001,5473
01/01/2002,7937
01/04/2002,9778
01/07/2002,5285
01/10/2002,1603
01/01/2003,4870
01/04/2003,3370
01/07/2003,3034
01/10/2003,2828
01/01/2004,5242
01/04/2004,4281
01/07/2004,9578
01/10/2004,7125
01/01/2005,10582
01/04/2005,13824
01/07/2005,12189
01/10/2005,15569
01/01/2006,15756
01/04/2006,13464
01/07/2006,19105
01/10/2006,10694
01/01/2007,9912
01/04/2007,12319
01/07/2007,8540
01/10/2007,7041
01/01/2008,10586
01/04/2008,18214
01/07/2008,11707
01/10/2008,10897
01/01/2009,12214
01/04/2009,8944
01/07/2009,3407
01/10/2009,-431
01/01/2010,4120
01/04/2010,6381
01/07/2010,2861
01/10/2010,-1571
01/01/2011,5817
01/04/2011,10152
01/07/2011,8858
01/10/2011,11082
01/01/2012,16561
01/04/2012,18102
01/07/2012,15208
01/10/2012,13656
01/01/2013,20232
01/04/2013,25618
01/07/2013,18895
01/10/2013,12443
01/01/2014,17389
01/04/2014,20165
01/07/2014,10947
01/10/2014,3518
01/01/2015,5820
01/04/2015,6446
01/07/2015,3441
01/10/2015,3282
01/01/2016,5540
01/04/2016,3723
01/07/2016,17
01/10/2016,843
01/01/2017,2414
01/04/2017,2623
01/07/2017,4753
01/10/2017,3232
01/01/2018,5738
01/04/2018,6573
01/07/2018,7175
01/10/2018,5749
01/01/2019,6431
01/04/2019,8074
01/07/2019,11588
01/10/2019,10172
01/01/2020,6972
01/04/2020,-1942
01/07/2020,-1363
